date,covid_in_pop,covid_in_pop_lo,covid_in_pop_up
2021-09-17,4983.990818180329,4257.310290313823,5781.026008690053
2021-09-18,5148.956990031637,4403.633335285564,5967.366311312654
2021-09-19,4979.998604482668,4232.840594776367,5803.112457666955
2021-09-20,5352.481074756486,4568.789101056826,6212.596997702655
2021-09-21,5513.956792591426,4702.6510275601395,6407.644614822943
2021-09-22,5599.610110637243,4778.562030657325,6509.192475143467
2021-09-23,5686.821206440005,4857.943426380174,6607.346339526588
2021-09-24,5779.8205175475705,4939.553025054914,6712.817266585378
2021-09-25,5934.786985465849,5080.452439774825,6879.639282016989
2021-09-26,6128.720731556208,5248.510128594863,7100.379334359906
2021-09-27,6162.686841862859,5281.446083185652,7134.415459498405
2021-09-28,6126.127386264218,5249.844037881262,7091.900064807193
2021-09-29,6308.845376229981,5421.024027880895,7287.267850015141
2021-09-30,6392.456916865943,5496.0984957374485,7380.225840239991
2021-10-01,6348.323289484137,5451.347659485223,7336.654689997638
2021-10-02,6285.642067869495,5391.461188816998,7274.229776327423
2021-10-03,6830.226210251313,5858.839366091214,7904.51396047828
2021-10-04,6740.387526051864,5784.104988600112,7799.092857171171
2021-10-05,6570.63046483284,5628.978284188697,7614.552315306102
2021-10-06,6777.771484827386,5819.251030257664,7838.202245209201
2021-10-07,6789.024803933041,5841.8481958226685,7832.508881687535
2021-10-08,6525.9694437900625,5601.033079522799,7548.479249014427
2021-10-09,6334.884634735449,5418.806517666341,7349.943852883822
2021-10-10,6485.3357397850705,5562.661839958827,7503.741614055635
2021-10-11,6475.554813247752,5551.124197956764,7494.989853512085
2021-10-12,6527.009167671488,5604.999501796811,7543.151069877878
2021-10-13,6440.788682820143,5523.150783936914,7451.630411773352
2021-10-14,6745.0327769771775,5818.965706629246,7766.963907600675
2021-10-15,6963.041909892387,6016.6920884259325,8006.014240349566
2021-10-16,7373.625324726687,6397.58902896158,8443.553784485746
