date,age_group,respondent_count,unhealthy_count,unhealthy_unk_count,predicted_covid_positive_count,predicted_covid_positive_prob,population,corrected_covid_positive,corrected_covid_positive_prob,factor,factor_prob,+ symptom_based,+ response_rate
20220111,0 - 17,30316,3599,3599,745,10098.737552851993,14044453,580341.1677518853,5508222.894871312,1.1515524565183644,0.08649847686647331,406711.1162555921,0.002158574634412604
20220111,18 - 34,43206,9849,9847,1921,25766.502707592015,14704349,1022020.7459720214,9622961.580067247,1.1515524565183644,0.08649847686647331,718684.4512700492,0.0029383143721629567
20220111,35 - 54,173879,34927,34924,4676,62050.03737417104,17542141,740321.8463203029,6861519.699663071,1.1515524565183644,0.08649847686647331,520750.8541045157,0.009912074016506879
20220111,55 - 74,387835,40234,40233,5591,74445.08424390246,14608166,334341.41466470825,3143046.6339178113,1.1515524565183644,0.08649847686647331,236094.6480316565,0.026549191732897888
20220111,75 - 119,82353,4970,4970,689,9422.877560194016,4931625,67257.35690982227,645049.5352920678,1.1515524565183644,0.08649847686647331,47122.25022275901,0.016698958254125162
20220112,0 - 17,29851,3711,3711,825,8009.293035475387,14044453,656556.5944879929,4562071.749426093,1.1540747866155194,0.1211404597001966,468419.1274222039,0.002125465477366758
20220112,18 - 34,42564,9511,9510,1820,17165.60238144365,14704349,986818.2685732328,6682803.241356136,1.1540747866155194,0.1211404597001966,713834.570375876,0.002894653819764479
20220112,35 - 54,172090,34081,34078,4567,42976.51427196563,17542141,721061.2907563456,4799925.621762555,1.1540747866155194,0.1211404597001966,517075.91612782236,0.009810091025947175
20220112,55 - 74,386081,38910,38909,5162,49614.729048191555,14608166,302271.8345678096,2088932.4755756739,1.1540747866155194,0.1211404597001966,218563.1971665069,0.026429121903461392
20220112,75 - 119,81998,4745,4745,626,6244.586954956844,4931625,59753.25388977057,424683.34702056245,1.1540747866155194,0.1211404597001966,43140.95911081908,0.016626973867639977
20220113,0 - 17,29505,3803,3803,900,9153.03621561975,14044453,717804.6688392564,5230923.405873091,1.202641055385267,0.12177941808768873,513296.72366912686,0.002100829416425118
20220113,18 - 34,41598,8823,8821,1662,16369.761887132809,14704349,934481.6428488943,6584067.630190916,1.202641055385267,0.12177941808768873,670038.9450450913,0.002828958969893873
20220113,35 - 54,169921,32662,32660,4406,43270.605044050455,17542141,709512.9116948408,4866163.670400894,1.202641055385267,0.12177941808768873,501634.2284878695,0.009686445913301004
20220113,55 - 74,383644,37064,37063,4732,47453.076825312135,14608166,280453.52406220476,1982301.5693771297,1.202641055385267,0.12177941808768873,199413.25691067654,0.026262297402699284
20220113,75 - 119,81603,4525,4525,572,5933.945356238015,4931625,55981.96985749476,405063.1902003166,1.202641055385267,0.12177941808768873,39737.41036564196,0.016546878564367727
20220114,0 - 17,29267,3896,3896,994,9854.902135947861,14044453,808889.3381008194,5700013.614205033,1.1883789582000202,0.12687030645087263,577054.0884398022,0.0020838832242167067
20220114,18 - 34,40901,8153,8151,1480,14090.489499560272,14704349,858446.507596137,5823171.517979807,1.1883789582000202,0.12687030645087263,613600.8412488563,0.0027815580274924106
20220114,35 - 54,168257,31072,31070,4216,40414.71840517806,17542141,685849.5581894633,4585683.25585477,1.1883789582000202,0.12687030645087263,483177.2927278894,0.009591588620796059
20220114,55 - 74,382113,35263,35262,4366,42740.41487897825,14608166,257267.1858092829,1778554.0614235755,1.1883789582000202,0.12687030645087263,182853.5275807868,0.026157493007678036
20220114,75 - 119,81355,4326,4326,524,5336.445605815431,4931625,50975.70842530289,360630.5213420261,1.1883789582000202,0.12687030645087263,36155.59368802532,0.016496590880287938
20220115,0 - 17,28936,3976,3976,1099,11524.145861601473,14044453,871675.6369882212,6552947.844722416,1.2433102188567817,0.1261412210876179,626515.4633699588,0.0020603152005991263
20220115,18 - 34,40096,7471,7471,1353,13688.700108539206,14704349,805812.14798596,5776132.201409626,1.2433102188567817,0.1261412210876179,579288.1242752481,0.0027268123192669053
20220115,35 - 54,166170,29467,29466,4013,40759.55754470739,17542141,656195.4709526928,4698506.952161556,1.2433102188567817,0.1261412210876179,466192.12976466375,0.00947261796607381
20220115,55 - 74,379554,33379,33379,3991,41493.98420128144,14608166,236780.3128293256,1748228.3918381152,1.2433102188567817,0.1261412210876179,169648.15287361317,0.025982317013648393
20220115,75 - 119,80989,4133,4133,497,5341.667934022057,4931625,47409.382295451855,363646.0034485563,1.2433102188567817,0.1261412210876179,33991.94757337337,0.01642237599168631
20220116,0 - 17,28769,4191,4191,1242,13484.037126177805,14044453,939411.1715110041,7458910.489584453,1.2580257755764928,0.11944980266317534,691434.3622198043,0.00204842438505793
20220116,18 - 34,39483,6950,6950,1263,13254.508807488271,14704349,753761.8648402666,5712565.496319472,1.2580257755764928,0.11944980266317534,552762.4409372831,0.002685123972506365
20220116,35 - 54,164726,28055,28054,3899,41226.276856594,17542141,615983.4381976468,4694712.164867899,1.2580257755764928,0.11944980266317534,447668.84945911216,0.00939030190214524
20220116,55 - 74,378227,31648,31648,3749,40551.512359612454,14608166,220044.70918829247,1718597.926876341,1.2580257755764928,0.11944980266317534,161101.18036528584,0.025891477410648265
20220116,75 - 119,80711,3950,3950,445,5022.348839534191,4931625,40447.75317777269,332948.6352897991,1.2580257755764928,0.11944980266317534,29677.423508635162,0.016366005120016222
20220117,0 - 17,28667,4541,4541,1406,15227.418431549879,14044453,992507.682562141,8343761.673583686,1.2792690104706743,0.12150210737555779,777802.1231269577,0.002041161731254325
20220117,18 - 34,38952,6623,6623,1212,12644.939903711416,14704349,695232.8454034848,5511432.412384689,1.2792690104706743,0.12150210737555779,536433.4343984922,0.0026490122072048206
20220117,35 - 54,163529,27321,27320,3949,41859.55667215931,17542141,591648.1790659726,4810766.770865676,1.2792690104706743,0.12150210737555779,456601.4027242579,0.009322066217572872
20220117,55 - 74,377369,30423,30423,3613,39022.47558382513,14608166,201520.49122481508,1665544.397114853,1.2792690104706743,0.12150210737555779,156718.17878794525,0.02583274313832414
20220117,75 - 119,80537,3815,3815,411,4650.10996623011,4931625,37073.180564443304,314993.3670845752,1.2792690104706743,0.12150210737555779,28225.964384166982,0.0163307226319925
20220118,0 - 17,28740,4894,4894,1537,17407.593593492194,14044453,1015001.4638074606,9363362.313573997,1.242225672818843,0.11268672320856546,833586.0675433822,0.0020463595128980814
20220118,18 - 34,38410,6287,6286,1143,12628.623460275754,14704349,639870.5914953529,5608789.198211703,1.242225672818843,0.11268672320856546,516673.65493067395,0.0026121523639026792
20220118,35 - 54,162408,26768,26767,4060,44851.36073260054,17542141,588405.5215073937,5212664.549380142,1.242225672818843,0.11268672320856546,475808.0397416102,0.009258162957417798
20220118,55 - 74,376200,29260,29260,3473,39160.31305709951,14608166,184396.1089431997,1666468.5192055197,1.242225672818843,0.11268672320856546,149637.14292968402,0.025752719403654093
