,date,region,pop_mid,pop_low,pop_up,100k_mid,100k_low,100k_up
243,2020-08-05,England,1286.0,951.4571984914369,1736.4759839953813,2.296565401073372,1.6997234095856653,3.102114193744067
1887,2020-08-06,North West,269.0,130.19962477697314,552.5690427347504,3.683009363568299,1.7854904590077654,7.577646674757856
1229,2020-08-06,East of England,51.0,13.899001109402821,184.34769206387526,0.8171569789724498,0.22413355045323094,2.9727677848865603
3203,2020-08-06,West Midlands,197.0,76.76228567574049,504.50595508252445,3.342528257955387,1.3008887787743248,8.549851401820554
3861,2020-08-06,North East,0.0,0.0,175.01352034761558,0.0,0.0,6.584631766836848
2545,2020-08-06,Yorkshire and The Humber,208.0,88.7965048799121,483.9958721686906,3.7905489975628575,1.6204880247957585,8.832662005792207
3532,2020-08-06,Wales,59.0,0.0,225.4628114058928,1.8766677246314831,0.0,7.183476216410684
4190,2020-08-06,Northern Ireland,0.0,0.0,607.9376555522254,0.0,0.0,32.308942127168145
4519,2020-08-06,UK,1372.0,1004.2717835621562,1874.7650843707447,,,
1558,2020-08-06,South West,46.0,12.639500234778867,167.63014065149468,0.8229222663886564,0.22571604254092145,2.9935370272253006
2216,2020-08-06,Scotland,136.0,0.0,459.7126557890591,2.4932183349249026,0.0,8.453552817878654
242,2020-08-06,England,1177.0,861.5363624290509,1608.3079477437075,2.1031536259582646,1.5390850221657313,2.8731493891023008
571,2020-08-06,South East,163.0,82.4380382870703,320.4053166524314,1.7804574313790529,0.9025774354330323,3.507975383841918
2874,2020-08-06,East Midlands,180.0,76.99220218368359,419.51679038051924,3.7485591023538674,1.6026189484065458,8.732385077576055
900,2020-08-06,London,188.0,86.35910695047552,410.14130677223875,2.1143739705908553,0.9694468084705957,4.6041488259058125
3860,2020-08-07,North East,0.0,0.0,175.15062021358992,0.0,0.0,6.589789951935522
2215,2020-08-07,Scotland,115.0,0.0,320.60737706566505,2.11653006372871,0.0,5.895577077759972
2873,2020-08-07,East Midlands,107.0,36.46705319597942,313.6878142140772,2.2307962576278926,0.7590741501976608,6.529518843276452
1228,2020-08-07,East of England,50.0,13.746525561958622,182.315241559585,0.8081894187893888,0.22167474887914884,2.939992742704654
899,2020-08-07,London,251.0,127.18914040657663,493.9930266640595,2.8161211008434512,1.4277950594137685,5.5454483032210815
1557,2020-08-07,South West,46.0,12.656271075221367,167.8445494425117,0.8240114104175115,0.22601553600699617,2.997365936825791
4518,2020-08-07,UK,1321.0,962.390598768329,1811.2005478459153,,,
1886,2020-08-07,North West,308.0,156.0387859507359,605.0301051309308,4.2190725291763425,2.1398353799209073,8.29707060964432
2544,2020-08-07,Yorkshire and The Humber,209.0,89.47738801582254,487.6630362147354,3.8195610557342854,1.6329137725154512,8.8995857594874
241,2020-08-07,England,1142.0,831.9833942418106,1565.776703739618,2.039260105898633,1.4862903489736667,2.797169774688567
570,2020-08-07,South East,141.0,68.24263820537993,290.2536649936869,1.5418352970965106,0.747158310149365,3.1778583529944235
3202,2020-08-07,West Midlands,145.0,49.31368056592389,423.95649516291996,2.4558965458121715,0.8357178674858816,7.184781463851501
3531,2020-08-07,Wales,64.0,0.0,185.3029581148586,2.0539355808002915,0.0,5.903942136391905
4189,2020-08-07,Northern Ireland,0.0,0.0,646.5704576220198,0.0,0.0,34.3620884570324
569,2020-08-08,South East,124.0,56.77988610540076,269.7917611512458,1.355955599581545,0.6216577328870055,2.953830063652118
3530,2020-08-08,Wales,69.0,0.0,202.6196032288685,2.213749831124335,0.0,6.455668195110177
3201,2020-08-08,West Midlands,145.0,49.417213243647325,424.7861415376814,2.461016146132805,0.8374724335139936,7.1988414628441975
4188,2020-08-08,Northern Ireland,0.0,0.0,665.5699522637124,0.0,0.0,35.37181958195554
898,2020-08-08,London,257.0,130.5501341980501,506.98433767035675,2.890464559357111,1.4655247768632786,5.691285672754399
3859,2020-08-08,North East,0.0,0.0,176.7753973037926,0.0,0.0,6.650919851048045
240,2020-08-08,England,1130.0,820.3825668877771,1556.9761783716422,2.0193049546195883,1.4655661399861513,2.781448143691063
1885,2020-08-08,North West,277.0,134.3539828821057,570.0544481445161,3.8003400807404737,1.842461182024224,7.817432500442823
4517,2020-08-08,UK,1312.0,952.51498031572,1807.745792941234,,,
1227,2020-08-08,East of England,51.0,14.049036681591536,186.30797232999925,0.8259687140980678,0.22655300529205308,3.004379018850168
2214,2020-08-08,Scotland,113.0,0.0,330.95744621351565,2.0867033504911396,0.0,6.085902175640677
1556,2020-08-08,South West,46.0,12.72349688088842,168.72412807256444,0.8283841632527282,0.22721605363268835,3.013073441378287
2872,2020-08-08,East Midlands,141.0,55.02448928252608,361.8315997657279,2.9431006331932386,1.1453535117775506,7.5316481600743
2543,2020-08-08,Yorkshire and The Humber,210.0,89.71834156501609,488.8894253152435,3.829741283862501,1.6373110440243719,8.9219666950186
2213,2020-08-09,Scotland,121.0,0.0,329.22804000610984,2.2278042912363256,0.0,6.054100513159188
1555,2020-08-09,South West,24.0,4.194623073088082,134.26439210982642,0.424313058276635,0.07490752817924566,2.397691892738253
1884,2020-08-09,North West,282.0,136.87414230770258,580.6822813356137,3.8715426827254062,1.8770213477488915,7.963177119869613
4516,2020-08-09,UK,1278.0,919.6402056131353,1776.8945329739545,,,
897,2020-08-09,London,264.0,133.80691782503467,519.5610092761206,2.962489110955447,1.5020846557752974,5.832468398930371
239,2020-08-09,England,1088.0,782.917483338882,1512.723984253257,1.9444323876401537,1.398636929033618,2.7023941511543454
3858,2020-08-09,North East,0.0,1.4852459074705137e-14,183.31232793561392,0.0,5.58802392207752e-16,6.8968624559988285
4187,2020-08-09,Northern Ireland,0.0,4.190403167381826e-14,673.9717218284248,0.0,2.2269963406274138e-15,35.81833294422707
2871,2020-08-09,East Midlands,142.0,55.449838108979336,364.5683505242917,2.965786591337567,1.1542072926751301,7.588614560545305
568,2020-08-09,South East,104.0,44.607600009464115,244.02454900300012,1.143052973133263,0.4883887833085343,2.6717163120119354
2542,2020-08-09,Yorkshire and The Humber,171.0,66.40126920239898,436.6459458033249,3.113810907658614,1.2117871274240797,7.968551546109077
3200,2020-08-09,West Midlands,191.0,74.48074038896692,489.428287706106,3.243108599853876,1.2622234806308228,8.29433050210517
1226,2020-08-09,East of England,53.0,14.467302776182953,191.83039290873734,0.8505517873537743,0.23329791192793786,3.0934328811864473
3529,2020-08-09,Wales,69.0,0.0,193.10813346131326,2.2021088609571504,0.0,6.152623021352726
2541,2020-08-10,Yorkshire and The Humber,168.0,65.29910602469971,429.34620506606564,3.0620772259232387,1.1916732475675702,7.835335239174023
1883,2020-08-10,North West,233.0,106.7919841651061,506.269316753458,3.193067385472058,1.4644901561884374,6.942716127639321
238,2020-08-10,England,1093.0,789.8946972606244,1512.2792680851765,1.9527931158333496,1.4111013192923452,2.7015996913691795
3857,2020-08-10,North East,0.0,0.0,184.50748240396015,0.0,0.0,6.941828422416274
2212,2020-08-10,Scotland,114.0,0.0,357.0277252961445,2.101778058113627,0.0,6.565302684690324
1225,2020-08-10,East of England,104.0,40.58475442860197,267.47087743477056,1.6822044240087022,0.6544646649607959,4.31320185748743
4515,2020-08-10,UK,1277.0,922.8687359577468,1766.8624202605401,,,
2870,2020-08-10,East Midlands,139.0,54.03088523332143,355.2546593895041,2.889909273467685,1.1246713046019476,7.394746902927118
896,2020-08-10,London,255.0,129.2769929007952,501.9619717427066,2.8621850889245226,1.4512327952652788,5.6349057865853105
1554,2020-08-10,South West,24.0,4.153181582998292,132.93081860622118,0.42012030702770214,0.07416746654972588,2.3738769532169144
567,2020-08-10,South East,101.0,43.080876292195235,235.66981638232033,1.1039291990423878,0.4716733639950757,2.5802440584359476
3199,2020-08-10,West Midlands,191.0,74.24762858467216,487.83642574630295,3.232905682845593,1.2582729399748567,8.267353252240397
4186,2020-08-10,Northern Ireland,0.0,0.0,647.2404368332947,0.0,0.0,34.397694607376586
3528,2020-08-10,Wales,70.0,0.0,219.79986954333756,2.2423159231976046,0.0,7.0030490855196925
2211,2020-08-11,Scotland,92.0,0.0,359.68885459244717,1.6859614796346678,0.0,6.614237593873727
