date,region,active_cases
2021-12-15,East Midlands,88330.52909567185
2021-12-15,East of England,122435.76765801058
2021-12-15,London,192047.16502823643
2021-12-15,North East,42139.77210369452
2021-12-15,North West,113123.71454645516
2021-12-15,Northern Ireland,38059.927331036524
2021-12-15,Scotland,69103.77387833275
2021-12-15,South East,188037.96602414228
2021-12-15,South West,95265.39317993123
2021-12-15,Wales,66630.30879550398
2021-12-15,West Midlands,100415.03734478923
2021-12-15,Yorkshire and The Humber,80902.42937771678
2021-12-16,East Midlands,89809.70286279815
2021-12-16,East of England,125593.67212664026
2021-12-16,London,209649.77694917546
2021-12-16,North East,42534.2472919584
2021-12-16,North West,116397.39989521852
2021-12-16,Northern Ireland,38656.53992741275
2021-12-16,Scotland,70158.99277594475
2021-12-16,South East,192178.29130489184
2021-12-16,South West,95900.62716004005
2021-12-16,Wales,65942.74004917225
2021-12-16,West Midlands,100870.56382054224
2021-12-16,Yorkshire and The Humber,81568.30514648791
2021-12-17,East Midlands,91530.14505926686
2021-12-17,East of England,129409.44686480949
2021-12-17,London,231028.87043653533
2021-12-17,North East,42834.41672146324
2021-12-17,North West,120197.21197294253
2021-12-17,Northern Ireland,39157.23920530335
2021-12-17,Scotland,71401.99732347424
2021-12-17,South East,196832.6870500898
2021-12-17,South West,96561.0434931771
2021-12-17,Wales,65618.25206765062
2021-12-17,West Midlands,101632.37396045672
2021-12-17,Yorkshire and The Humber,82890.09324042153
2021-12-18,East Midlands,93645.04646123864
2021-12-18,East of England,133638.33706332193
2021-12-18,London,256193.57762866575
2021-12-18,North East,43156.19446186052
2021-12-18,North West,124059.48350020399
2021-12-18,Northern Ireland,39727.91532516132
2021-12-18,Scotland,73181.15870628739
2021-12-18,South East,202456.3730128058
2021-12-18,South West,97498.41939720768
2021-12-18,Wales,65312.514279553325
2021-12-18,West Midlands,102675.16322429814
2021-12-18,Yorkshire and The Humber,84492.46560859785
2021-12-19,East Midlands,95999.94628863723
2021-12-19,East of England,138719.4150606982
2021-12-19,London,284277.8588935918
2021-12-19,North East,43368.31606038039
2021-12-19,North West,129050.61772958748
2021-12-19,Northern Ireland,40287.20472099052
2021-12-19,Scotland,75609.27363152542
2021-12-19,South East,209064.71262496704
2021-12-19,South West,98585.5414687739
2021-12-19,Wales,65206.85245282322
2021-12-19,West Midlands,104082.92784238975
2021-12-19,Yorkshire and The Humber,86723.79544786287
2021-12-20,East Midlands,98747.58370474743
2021-12-20,East of England,144168.60588853707
2021-12-20,London,314923.7303907644
2021-12-20,North East,43670.018563746045
2021-12-20,North West,134421.07440014696
